material_name,Frequency
Al0.75Ga0.25As Confinement Layers,2
CH3NH3PbI3 Microwires,2
In22.5Ga77.5N/GaN,2
Mn in NCs,2
GaN templated Si substrate,2
Al0.52Ga0.48N,2
AlGaAs/GaAs layers,2
RF N2 Plasma,2
Tapered unstable-resonator laser,2
Anamorphic Microlens,2
GaPN layer,2
InGaAs (Well material),2
a-C:H:Si:O:Cl,2
TiNx,2
GaSb cap,2
In1-xMnxAs,2
PI-15k,2
PI-A6,2
Et₃Ga,2
850 nm VCSEL,2
Oxide aperture,2
Dielectric DBR,2
Roof Structure (No. 13 from ASHRAE),2
Wall Structure (No. 26 from ASHRAE),2
Road Structure,2
CdS:H,2
n-type CdTe,2
"[C] (Cations, e.g., Ga)",2
"[A] (Anions, e.g., As)",2
InxGa1-xN Layers,2
PAMBE grown Homoepitaxial GaN Film,2
Dense TiO2,2
In0.23Ga0.77As (Step-graded Layer),2
GaN (buffer layer and top layer),2
bSiN,2
InzAl1_zAs Spacer Layer,2
InzAl1_zAs Barrier Layer(s),2
InyGal_yAs Channel Layer,2
Cd0.5Zn0.5S/CdSe/Cd0.73Zn0.27S QDs,2
"ZnO, MMI.I",2
p-GaSb Cap Layer,2
CuInS2 (shell),2
Mesa Isolation (Etch),2
Fast Gate Electrode,2
Nitride (Si3N4),2
p-type Ge (Buffer Layer),2
Ge1-xSnx (Active Layer),2
n-type Ge (Cap Layer),2
Porous low-k SiOCH,2
Al0:63Ga0:37N,2
Al0:63Ga0:37N:Si,2
Al0:41Ga0:59N,2
"6H-SiC (p-type, highly resistive)",2
BaSi2 Interface,2
Waveguide-integrated p-i-n photodiode,2
ZnSe (Buffer layer),2
Dichroic Mirror (DM),2
Polycrystalline Silicon (pc-Si) Cell,2
n-type BP Layer,2
Ga0.75In0.25As:Se Emitter Layer,2
Ga0.75In0.25As:Zn Base Layer,2
Ga0.75In0.25As:Zn Emitter Layer,2
Al0.72Ga0.03In0.25As:Zn Window Layer,2
Ga0.75In0.25As:Zn Contact Layer,2
Au/Ni/Au Front Contact Grid,2
Au/Ge/Ni/Au Back Contact,2
Si3N4 Antireflective Coating,2
GaAs (100) substrate with Ga-stabilized (4x6) reconstruction,2
GaAs (100) substrate with As-covered c(4x4) reconstruction,2
Not specified (likely metal top contact),2
CFTS nanoparticles,2
ZnSe spacers,2
ZnTe-rich δ-layers,2
GaN Quantum Barrier,2
SiC Core,2
[CYEP (Cyanoethylphosphine)],2
[TMIn (Trimethylindium)],2
[BZP (Benzylophosphine)],2
Undoped GaN Drift Layer,2
Ag shell,2
Al0.3Ga0.7As / GaAs SL active layer,2
p-type Al0.3Ga0.7As / GaAs SL layer,2
Metal layer (Ag),2
SiO2 (001) Surface,2
PCS (Photonic Crystal Slab),2
GaSb/InAs/GaSb Heterostructure (Double-Barrier Broken-Gap),2
TiO2-3 at.% Co,2
TiO2-5 at.% Co,2
[LHM],2
[SiO2-glass prism],2
[Dielectric gap layer (sensing medium)],2
CNPQDs,2
Al/Au Contact,2
^{14},2
Donor (D) (Nitrogen),2
AlN overgrowth layer,2
Granular Material,2
n-Contact (Ti/Al/Ti/Au),2
Silicon rods (dielectric rods),2
Inner Rods (within the ring resonator),2
Dye 9a,2
Dye 9b,2
Dye 9c,2
Dye 9d,2
AlxGa1-xN grading waveguide layer,2
Al0.66Ga0.34N/Al0.83Ga0.17N MQWs,2
Al0.83Ga0.17N cap layer,2
ZnO/Al Layer,2
InGaAs Cap,2
Silica Fume (as-received),2
GaN (Contacts),2
GaN/AlN PSS,2
Alternating Mn and GaN layers (intended),2
Mn-rich surface protrusions,2
SAALD ZnO,2
R&D Programs,2
CdS@CdSe,2
CdTe NCs (3.5 nm),2
Copper oxide nanostructures,2
InN/GaN/InN sandwich structure surface,2
Standard waveguide materials,2
InAs0.45P0.55 (Well Layer),2
In0.68Ga0.32As0.45P0.55 (Barrier Layer),2
BGO Slab,2
SiC:H (Undoped and B-doped),2
Diborane (B2H6) (Dopant Gas),2
SiC:H (Undoped and P-doped),2
Phosphine (PH3) (Dopant Gas),2
Poly (methyl methacrylate) (PMMA),2
Aluminum tris(8-hydroxyquinolate) (Alq3),2
Interface (a-Si:H/c-Si),2
Waveguide structure (buried heterostructure),2
VCSEL (917.9 nm),2
VCSEL (921.8 nm),2
REPD (917.9 nm),2
REPD (921.8 nm),2
CZ,2
Al0.22Ga0.78N:Si epilayer,2
Ga0.63Al0.37N,2
GaN Lattice-Mismatched Substrate (Sapphire),2
LEO GaN Template,2
α-SiC (3C-SiC),2
Amorphous SiOx (x>2),2
Carrier Material,2
"PbS QD (p-type layer/TBAI, n-type layer/TBAC)",2
MCT-based FPA,2
Chlorine Plasma,2
Oxygen Microwave (roW) Plasma,2
Ga1-xAlxAs (Heterojunction layer),2
GaAs (p-n junction region),2
"Au-Zn, In (Contacts)",2
SiO (Coating),2
CH3NH3PbI3 (Methylammonium Lead Iodide) Perovskite,2
ZnO:As,2
Ti/Mo/Ta/Ti (30/30/15/10 nm),2
Ti/Au (10/100 nm),2
Ti/Al bilayer,2
Ga1-xInxAs (Well),2
Cesium (Cs) overlayer,2
Oxygen (O) overlayer,2
InGaAs (Source) / Si (Channel/Drain) Heterostructure,2
p+GaN layer,2
p++GaN cap layer,2
6H SiC (Substrate and Epitaxy),2
"High-k dielectric (e.g., Al2O3)",2
BaCuSF,2
Phosphorous (P) dopant,2
"SiH4, C3H8, PH3, H2 precursors",2
SiC CVD Coating,2
CuFeO2 (delafossite phase),2
CuFeO2 (delafossite phase) with C60 and CoFe LDH layers,2
Ti metal mask,2
Ta metal mask,2
CSC substrate,2
PBSON-P,2
PBSON-FEO,2
Al₀.₁₅Ga₀.₈₅N Gating Layer,2
Ti/Ni,2
SCBR Laser 1 (Channel 1),2
SCBR Laser 2 (Channel 2),2
InGaAsP/InP Laser Amplifier,2
GaN layer within the superlattice,2
AlGaN layer within the superlattice,2
p-Mg0.05Zn0.95O:N layer,2
MoBi2Se5,2
B40 BZO (Boron-doped Zinc Oxide),2
Single Graphene Layer (SGL),2
"Graphene Layer 1 (Lower layer, on h-BN)",2
Graphene Layer 2 (Upper layer),2
BLG System,2
Gold (Au) Nanoparticles,2
In0.5614Ga0.4386As0.9605P0.0395 quantum wells,2
In0.7845Ga0.2155As0.4685P0.5315 barriers,2
"mc-SiOx:H (n-type, IR)",2
Type Converted Layer (Bulk),2
ITO (Bottom Gate),2
Fluorescein (F27) molecules,2
QD-F27 Complex,2
Silicon (a-Si:H/nc-Si:H),2
Pseudomorphic Ga0.4In0.6As/Al0.55In0.45As Heterostructure,2
AlN/Al0.8Ga0.2N SL,2
Al0.8Ga0.2N/Al0.65Ga0.35N SL,2
AlN wetting layer,2
Coagulation Tendency,2
"(Mg, Zn)O",2
TiO2:Eu3+,2
PPV (poly(p-phenylenevinylene)),2
In0.4Al0.1Ga0.5As QDs,2
CuInS2 (as-deposited film),2
In2O3 (cubic phase),2
Ga1-xMnxAs (x = 0.06),2
Gallium Phosphate (GaPO4) Layer,2
MPCBM,2
AlGaN/GaN HEMT epilayers on sapphire substrate,2
Fe dopant (10 wt%),2
"II-VI Semiconductor Nanowires (e.g., CdS, CdSe)",2
Shallow Trap States in Semiconductor,2
Five pairs of InGaN/GaN multiple quantum wells (MQWs),2
Indium tin oxide (ITO) transparent conducting layer,2
α-MoO3,2
Dielectric Resonator (DR),2
Mg0.51Zn0.49O,2
MgxZn1-xO Composition-Gradient Buffer Layer (CGBL),2
Mn-doped ZnOxS1−x,2
dBSA,2
InGaAs/GaAs/AlGaAs quantum well structure,2
ZnO-b,2
InGaAs Quantum Dot Molecules (QDMs),2
"CdSe/ZnS Quantum Dots (4 nm, λem= 590 nm)",2
Cholesterol,2
"1,2-dioleoyl-sn-glycero-3-phosphocholine (DOPC)",2
n-type amorphous silicon (n-a-Si),2
GaN (misoriented crystallites),2
CdSe/ZnS core-shell quantum dots (QD607),2
"PPO (2,5-diphenyl oxazole)",2
Strained InGaAs/AlGaAs single quantum well,2
AlGaAs cladding and confinement layers,2
GaN:Mg Template,2
CdTe-MSA QDs,2
RC-4 (Cellulosic Support),2
Zn1-xCaxO,2
N-doped TiO2/TiN/Ti3O5/TiO,2
〈p〉 a-SiC:H window layer,2
n-type layer (a-Si:H),2
Al0.63Ga0.37N Window Layer,2
Al0.44Ga0.56N Active Layer,2
PDLLA,2
ZnO FRs,2
AlxIn1–xN,2
CsX layer,2
PbX2 layer,2
Bulk CsPbX3 (used for slab creation),2
Basic zinc tri\u00b0uoroacetate,2
Kesterite CZTS,2
InAs₁₂₋ₓ₋₂ᵧSbₓBiᵧ,2
DLI-MOCVD Cr<sub>x</sub>C<sub>y</sub> coating,2
PVD Cr coating,2
CVD-grown SLG,2
Au/ZnO NWs,2
Al0.35Ga0.65N/Al0.45Ga0.55N MQWs,2
Intrinsic amorphous silicon (a-Si:H),2
Al<sub>0.7</sub>Ga<sub>0.3</sub>As Layer,2
Al<sub>0.34</sub>Ga<sub>0.66</sub>As Spacer Layer,2
Al<sub>0.2</sub>Ga<sub>0.8</sub>As Doped Layer,2
2DEG in Quantum Well,2
GaAs Quantum Well (Theoretical),2
AlGaAs Barrier (Theoretical),2
"Residual phases (e.g., CdO·CdCl2, TeO2, CdO, Te)",2
CdSe/ZnS/octadecylamine QDs,2
Al0.7Ga0.3N/AlN SLs,2
n-Al0.56Ga0.44N EIL,2
AlGaN MQWs (Active Layer),2
Medium-range ordered amorphous silicon hydride (Si4H),2
Nano-crystalline silicon (Si),2
Cu2-xS (Secondary Phase),2
Al0.3Ga0.7As (Layer),2
InGaN (First sub-layer),2
InGaN (Second sub-layer),2
CdSe powder,2
SM-ZnO,2
Al-based n-contact,2
AlBi,2
InAs Overlayer,2
MBE-grown hBN,2
GaN (Wetting Layer - WL),2
CaTiO3,2
InGaP (Cladding Layer),2
Au Source/Drain Electrodes,2
In0.10Ga0.90N/GaN (MQWs),2
S- ion,2
O- ion,2
Annealed Titanate Film (TiO2 film),2
Y6-T,2
CuZn acceptor,2
Cr:InN,2
PbTe source,2
SnTe source,2
3C–SiC Epilayer,2
Si Incorporated AlGaAs Heterostructure (Post-Laser Scan & Anneal),2
As-Grown AlGaAs Heterostructure (Pre-Laser Scan),2
InGaAs LED,2
Tellurium Vacancy (VTe),2
Au NPs Layer,2
AlN Piezoelectric Layer,2
InAs/GaSb Superlattice (SL),2
InAsSb Etch-stop Layer,2
AuGeNi Contact Layer,2
"Laser Structure (InAs/AlSb cladding superlattice, active region)",2
"Potassium Dichromate (K2Cr2O7, source of Cr(VI))",2
Ni/Au/Ge/Ni/Au Layers,2
Monatomic Hydrogen (H) / Monatomic Deuterium (D),2
Schottky Diode Chip,2
Corner Reflector,2
Whisker,2
Base/Connector,2
β-AgGaO2,2
InGaN/AlGaN quantum wells,2
Iron (Fe) layer,2
IOTIC-2F,2
GaN p–i–n structure,2
n+-GaN (Source/Drain),2
TiO₂ (anatase phase) doped with Al,2
Reaction Chamber,2
Si0.46Ge0.54 (SiGe layer),2
Si (Silicon layer),2
Si0.39Ge0.61 (SiGe layer),2
High Manganese Silicide (HMS),2
[Nitrogen adatom (N)],2
[Nitrogen adatom (N) - first layer],2
[Gallium adatom (Ga) - second layer],2
Mo Electrodes,2
GaN (n+ layer),2
Lumilog Template Substrate,2
Ti:Al:Ni:Au Contact,2
InP MZM,2
InP DD-MZM,2
FOIC (Acceptor),2
Al0.5Ga0.5N layer (interface region),2
Silicon (for comb fingers and seismic mass),2
Absorber/Detector Layer (Pb1-yEuySe),2
CsF,2
Al0.60Ga0.40N wells (MQW active region),2
Al0.75Ga0.25N barriers (MQW active region),2
Slow Traps,2
ZnTeSe,2
a-Si:H Layers,2
"n-GaN (Si-doped, 1 \u0003 10^16 cm^-3)",2
Etch Residue,2
Pinholes,2
N3 Dye (RuL2(NCS)2),2
Al0.33Ga0.67As Injectors,2
GaAs n/n+ Layer,2
Sb (from SbCl5),2
"Cl (from SnCl4, SbCl5)",2
Triazatruxene,2
SiC(0001),2
AlN (epitaxial layer),2
Cd0.96Zn0.04Te:V (Host Crystal with Dopant),2
Cd0.96Zn0.04Te:In:V (Host Crystal with Dopants),2
AlN–Si Interface Layer,2
Solar Radiation Data (Global and Diffuse Horizontal Irradiation),2
AlxGa1-xAs Graded Confinement Layers,2
n+-Al0.13Ga0.87As Buffer Layer,2
n-Al0.60Ga0.40As Cladding Layer,2
p-Al0.13Ga0.87As Cladding Layer,2
Substrate (n+-GaAs),2
Air-gap DBR,2
Air (top),2
GaAs Qrings,2
δ-TaN,2
Active Region (200 periods),2
TEMAZ (Zr[N(C2H5)(CH3)]4),2
Photonic Crystal Mirror (1D),2
300 nm GaN Layer,2
Cu(acac)2 precursor,2
In(acac)3 precursor,2
Sulfur source (1-DDT + t-DDT),2
CdTe:PPV film,2
"ZnO (host), Fe (dopant)",2
2DEG (within GaN Channel Layer),2
Schottky Gate Contact Interface (Metal/AlGaN),2
Silicon (Si) and Oxygen (O) atomic orbitals,2
AlAs/Al0.3Ga0.7As DBR pair,2
Channel Amplifiers,2
K328 (Ruthenium complex),2
Lithium,2
i-ZnO (CVD),2
ZnO:Al (PVD),2
MAI-capped PbS CQDs,2
GaN (Epitaxial Layer on Si),2
4H-SiC Homoepitaxial Layer,2
C-Buffer Layer,2
InGaN/GaN MQW active region (top 1 layer),2
ITO-coated Glass Substrate,2
"PEIE Layer (Optional, added for energy level matching)",2
Zn–O bond,2
Twin boundary,2
"Zn–O bond, Twin boundary",2
Al2O3-coated ZnO Nanorods,2
1T-NiTe2,2
Ag/AgI hollow glass fiber (inner core),2
Polymer-coated silica glass tubing (outer core),2
"GaN LED structure (Epivalley, Korea)",2
PC₇₁BM,2
n-type nc-SiOx:H (front CSC),2
p-type nc-SiOx:H (rear CSC),2
a-Si passivation layer (i-layer),2
ZnO Nano-flowers (ZNFs),2
Al:ZnO Nano-rods-nano-flakes (Al:ZNRs-FLs),2
GaAs (Heavily Doped Surface Layer),2
HT GaN-epitaxial layer,2
Ni/Au bilayer metal-contact electrodes,2
Buffer AlGaN layers,2
Ohmic contacts (Platinum),2
Ohmic contacts (Gold),2
Poly-Si (poly-Si),2
Al0.12Ga0.88N:Si/GaN:Si,2
MQW (Triple In0.03Ga0.97N/In0.10Ga0.90N:Si QW structure),2
GaN:Mg/Al0.12Ga0.88N:Mg,2
Al2O3 (Alumina),2
Silicon Multiplication Region,2
Bus Waveguide (2D simulation),2
ITO (ARC),2
i-InxGa1-xN (active layer),2
Undoped diamond,2
N-doped diamond,2
p-nc-Si:H layer,2
1L-MoSe2 channel,2
Al (50 nm),2
a-Si0.74Ge0.26:H,2
CdSe@ZnS,2
PTB7:PC₇₁BM,2
H2 Treatment,2
Al0.35Ga0.65As tunnel barrier,2
i-type region,2
7 nm GaAs layer,2
GaN Nanostripe,2
TS Wire,2
"MZI [Methylzinc Isopropoxide, (CH3)Zn(OCH(CH3)2)]",2
H2O [Water],2
CuS (formed at lower temperatures),2
Sb (unconverted at lower temperatures),2
Sb2S3 (formed at intermediate temperatures),2
"CuSbS2 (Chalcostibite, target ternary compound)",2
Sb–Cu alloy precursor,2
Precursor Alloy,2
4H SiC wafer,2
"TiO2 nanoparticles (P25, 25-30 nm, 80% anatase, 20% rutile)",2
Electrolyte (various),2
Thermal Nitride,2
Charge-sheet triangular barrier structure,2
Compact-TiOx,2
Highly doped Si-doped In0.25Ga0.75As quantum well,2
Undoped Al0.11Ga0.89As/In0.12Ga0.88As quantum wells,2
Al0.11Ga0.89As barrier layer,2
Highly doped GaAs contact layers,2
Pump fields,2
TZO1 (ZnO doped with 3 at.% Sn),2
TZO2 (ZnO doped with 5 at.% Sn),2
PLZT 8/65/35,2
Hg₀.₃Cd₀.₇Te:As,2
Epitaxial Structure (Residual Layer above Active Region),2
3C-SiC seed crystal,2
Grown crystal,2
ε-Fe2O3,2
Composition Graded Interface Region,2
Metal Contact(s),2
MnScN,2
AlGaN/GaN HEMT Structure (General),2
"MoSi2Z4 (Z = P, As)",2
Spherical Inhomogeneity (Phase 1),2
Infinite Matrix (Phase 2),2
White Background (Foam poster board with white paper surface),2
VO2 (R phase),2
V6O11,2
VO2 (M phase),2
Chromium Oxide (CrxOy),2
CuIn5S8 secondary phase,2
DTCPA,2
"Apertured fibre probe (Nanonics, Israel)",2
In0.03Ga0.97N/Al0.1Ga0.9N MQWs,2
Bridge-type MEMS variable capacitor (Metal-Air-Metal MAM),2
Offset air-gap overlay CPW coupler,2
InGaP/AlGaInP,2
CdS/CdTe Heterojunction,2
Al2O3 Tunneling Layer,2
Al2O3 Blocking Layer,2
Pt Top Electrode,2
Ag Glue Bottom Electrode,2
ITO-Epoxy (superstrate),2
Al0.28In0.72As/Al0.28Ga0.72As QDs,2
SiLK™,2
USG (Undoped Silica Glass),2
MBE n++-GaN,2
MBE n-GaN,2
GZO/Ag/GZO Electrode,2
Neutral PEDOT:PSS,2
Ti/Al/Ni/Au contacts,2
CdTexSe1-x (Te/Se = 0.43),2
CdTexSe1-x (Te/Se = 0.67),2
TiO2 (Crystal Structure),2
(BxGa1-x)2O3 (BGaO),2
Single-Color MQW Stack,2
Triangular Wire Structure (Etched),2
α-PLL,2
Al2O3 (Sublayer),2
TiO2 (Top layer),2
[AlxGa1-xAs well (x graded)],2
[GaAs/AlAs superlattices],2
[GaAs cap layer],2
In0.4Ga0.6As QDs (Surface),2
In0.4Ga0.6As QDs (Buried),2
AlGaN Window Layer,2
P3HT:CdSe Composite,2
GaN layer (bottom),2
In0.1Ga0.9N layer,2
GaN layer (top),2
MMIC Amplifier Circuitry,2
Photoconductive (PC) Switches,2
MMIC VCO Circuitry,2
Gold (Au) Bridge Electrodes,2
Al0.12Ga0.88As,2
SF6/O2/Ar plasma,2
GaAs (substrate and surrounding layers),2
Be-doped GaAs (buried spike),2
"GaN (p-type, δ-doped with Mg)",2
"GaN (p-type, uniformly doped with Mg)",2
In0.5(Al0.5Ga0.5)0.5P,2
CuyCrzO2,2
GaAs/AlAs (Short-Period Superlattice - SPS),2
Al0.5Ga0.5As (Ternary Alloy),2
p-Al0.10Ga0.90N,2
Ni/Au Transparent Metal,2
Ti/Al/Ni/Au Top Electrode,2
AuSb/Au Backside Electrode,2
Ge Interstitials,2
CdSe0.54Te0.46,2
p++GaN (MOCVD),2
n-Al0.4Ga0.8N,2
7 Quantum Wells (QWs) (InGaN/GaN),2
p-Al0.25Ga0.75N (EBL),2
m-plane GaN crystal,2
Ge (Bottom Sub-cell),2
CdS:O (0%),2
CdS:O (5%),2
a-Si:H absorber,2
p-a-SiC:H emitter layer,2
Organic material,2
GaN Buffer/Channel,2
Ca9-22 cells,2
HGF cells,2
"(Cd0.95–Pb0.05)S:CdCl2,Dy",2
ZnSeNR,2
Ti/Au electrode,2
Silicon Vacancy (VSi) in h site,2
GaAlAsSb Interlayer,2
Hg1-xCd0.2Te (MCT),2
Input Waveguide,2
ZnO (sol–gel),2
a-SiCX:H,2
ZnO (Final nanostructure),2
Zn (Intermediate vapor),2
O₂ (Intermediate gas),2
C (Source material),2
ZnO (Source material),2
Zn0.74Mg0.26O barrier layers,2
Top Window Layer,2
Multilayer Surface,2
All components same as Original Structure except LB,2
p-GaN/In₀.₀₇Ga₀.₉₃N SPS LB,2
HfC coating,2
Undoped Al0.23Ga0.77As Buffer Layer,2
Lightly Si-doped Al0.23Ga0.77As Layer,2
Heavily Si-doped Al0.23Ga0.77As Layer,2
Undoped Al0.23Ga0.77As Barrier Layer,2
Heavily Si-doped GaAs Cap Layer,2
n-Al0.5Ga0.5As window,2
i-GaInNAsSb absorber,2
p-Al0.5Ga0.5As back surface field,2
p+-GaAs contact,2
Erbium ions,2
ZnSe doped with Cu and O,2
Cobalt β-tetraaminophthalocyanine (CoTAPc),2
Se ions,2
n-GaN underlayer,2
11 periods of n-In0.06Ga0.94N (2.5 nm)=n-GaN (3 nm) SLs,2
n-In0.06Ga0.94N layer (in SL),2
n-GaN layer (in SL),2
GaN layer (barrier for blue-green QW),2
InGaN double QWs (orange emission),2
AlN host material,2
InAs QDs (Initial Layer),2
InAs QDMs (Regrown Layer),2
Wetting Layer (Effective Composition),2
GaAs/AlGaAs heterostructures,2
In0.34Ga0.66As,2
CIS (NEXCIS),2
β-cyclodextrin (β-CD),2
"Secondary Phases (Si, C)",2
Substrate (Glass-Glass Encapsulation),2
Active Layer Materials,2
Substrate (Barrier Foil Encapsulation),2
Interfacial Layers,2
CdSe TPs,2
Hg1-xCdxTe epitaxial film,2
V-defects in Hg1-xCdxTe epitaxial film,2
Ge (100) substrate,2
Si Fine Particles,2
Array structure,2
"[C,N-doped LPE layer (p-layer)]",2
Tris(dimethylamino) silane (3DMAS) precursor,2
CH4 atmosphere,2
TiO2 Structure,2
[Bi],2
[Cl],2
[F],2
[Br],2
Epitaxial Layers (n-In0.52Al0.48As),2
Epitaxial Layers (i-In0.7Ga0.3As),2
Sheet Carrier Density (Ns),2
Electron Hall Mobility (μe),2
Ohmic Contacts (Ti/Pt/Au),2
Gate Electrode (Ti/Pt/Au),2
Gate Passivation (SiNx),2
Interconnects (Gold-based plating),2
BCB Film,2
Spatially Variable Chalcogenide PBG Filter,2
Blackbody Source,2
Capped CdSe QDs,2
PMMA coated with TiO2 thin film,2
PMMA with TiO2 coating,2
InGaAsP film,2
Epitaxial Layer Structure (InAlGaAs),2
150 µm broad area stripe InGaAs LD,2
Volume Bragg Gratings (VBGs),2
Narrow ridge waveguide InGaAs LD,2
Primary CdSe QDs (Interior/Overall),2
YbCl3 (dopant),2
GaN (Hexagonal Phase),2
TiO2 Nanolayer,2
Multiple solar cells (N cells),2
n-Cd1-xZnxS Film,2
Biased ZnO (b-ZnO),2
Al Catalyst Particle (on Si),2
Tunnel Diodes,2
Au-Zn-Au Contact,2
CuS (precursor),2
ZnS (precursor),2
As-received Sn-doped (110) β-Ga₂O₃ substrate,2
β-Ga₂O₃ epitaxial film,2
GaAs/AlGaAs n-p-n HBT,2
Fused-F (HTM),2
Plasma-Pretreated TiN,2
Al₀.₇Ga₀.₃N Barrier,2
Load Resistance (R_L),2
Optical Input Power (P_ac),2
Optical Wavelength (λ_opt),2
Section Geometry (S = W * L),2
"~Ga,Mn!N alloy",2
m-Ti3C2Tx (Ti3C2Tx synthesized via MILD method),2
h-Ti3C2Tx (Ti3C2Tx synthesized via HF etching and TBAOH intercalation),2
Droplets,2
PECVD film,2
MoS2 layer,2
Metallic Indium Nanoparticles,2
In0.52Al0.48As layer,2
GaAs (Semi-insulating substrate),2
Si implanted region,2
Void network,2
Cu-Ga-Se films,2
Boron Nitride (BN) segment,2
Carbon (C) segment,2
CIS-Z QDs,2
"InP (lasers), Silicon (array waveguide in receiver)",2
HOPG (Highly Ordered Pyrolytic Graphite),2
Gsub (Transferred CVD Monolayer Graphene),2
InAsP/GaInP MQW,2
InAlAs (p-type),2
AuGe/Ni (n-electrode),2
Au/Ni (p-electrode),2
ZnO (substrate and matrix),2
N₂O Plasma Species,2
"ZnO:Ga,N Film",2
Circulator,2
"[3,7-Bis(perfluorophenyl)benzo[1,2-b:4,5-b0]difuran-2,6-diamine (3)]",2
Al2O3/GaN Interface,2
Semiconductor Material (General),2
[Ag(HSal)] precursor,2
Pb1,2
InGaN/GaN multiple quantum well (MQW) active layer,2
CdSe NBs,2
CVD-SiC Coating,2
O2- ions,2
Polymer Phase Shifter,2
Commercial n-MOSFET (CD4007),2
"Metal wire, Metal holder",2
Probe DNA strands (ssDNA),2
BSOD,2
[Mo] (Back Contact),2
[OVC] (Ordered Vacancy Compound Layer),2
Developer,2
Proton (H+) Ions,2
GaN (DBR layers),2
Ti1−xAlxN,2
"(Zn, Cr)Te:I (Host matrix)",2
Cr-aggregated regions / Hexagonal precipitates,2
Al2O3 Infiltrated Layer,2
SnO2:F TCO,2
Bound-to-quasibound QWIP,2
AlGaN Emission Layer,2
GaN Emission Layer,2
Dielectric Rods (Scattering Rods),2
Dielectric Rods (Main Lattice/Waveguide),2
Dielectric Rods (Resonator 1),2
Dielectric Rods (Resonator 2),2
TiO2/CdS nanocomposite,2
C60 (n-doped),2
BPAPF (p-doped),2
PNOz4T,2
AlN film (grown by LP-HVPE),2
Chromium/Gold (Cr/Au),2
"Organic Layers (HTL, EML, ETL, etc.)",2
SiO2 (gate insulator),2
Al (source/drain electrodes),2
Substitutional Oxygen Defect (O),2
Oxygen-Related Defects (General),2
Catalyst (Fe),2
Donor impurity (hydrogen-like),2
HgTe Electrode (Top),2
Hg0.15Cd0.85Te Barrier Layer,2
HgTe Electrode (Bottom),2
AlGaN/GaN SGFET,2
"Penicillinase (from Bacillus cereus, Sigma)",2
PCBM71 (Fullerene acceptor),2
n-6H-SiC (n-type 6H Silicon Carbide),2
H2GaN3,2
Hisense Ag ink (bottom electrode),2
Ag NW network,2
MgB2 (Bottom Layer),2
MgB2 (Top Layer),2
Al0.94Ga0.06As layer,2
"Silicon solar cell, copper tabs",2
Staggered InGaAs/GaAsP SLS,2
NVC-ink (N-vinylcaprolactam polymer),2
Cs0.2FA0.8Pb(I0.6Br0.4)3 Perovskite,2
AlGaAs/GaAs GRINSCH SQW Heterostructure,2
Laser Stripe,2
Nanocrystalline Diamond (Top Layer),2
"HfO2, La2O3",2
HfLaxOy,2
Alanine,2
In0.53Ga0.47As (Buffer Layer beneath TJ),2
In0.52Al0.33Ga0.15As (Buffer Layer above TJ),2
p-Ge Epilayer,2
ZrB2 Substrate,2
GaN Main Epilayer,2
UID-InxGa1-xN,2
InGaAsP MQWs,2
TTV2,2
InN Quantum Well Layer(s),2
GaN Barrier Layer(s) and Cap,2
Tungsten (W) Stripes,2
In0.53Ga0.47As Epitaxial Layer,2
AlxGa1-xN/GaN,2
In0.5Ga0.5N alloy,2
Al0.15In0.85N,2
InGaAs/InP Collector,2
GaN-based p-i-n structure,2
Al0.9Ga0.1As0.08Sb0.92 Cladding/Capping,2
GaSb Substrate/Buffer/Contact,2
Cu(In1-xAlx)Se2,2
Not specified (generic solar cell),2
GaAs (Starting Material),2
Al layers,2
Graded AlGaN Last Quantum Barrier (LQB),2
Dust,2
In2O3 NWs,2
Nano-Ag Ball 1,2
Nano-Ag Ball 2,2
Cd–Hg–Te (Solution),2
Cd (in Liquid),2
Hg (in Liquid),2
CdTe (in Solid),2
TiO2 Photonic Crystal Slab,2
ZnCdS core,2
Dodecanoic acid (primary ligand),2
Oleylamine (secondary ligand),2
In₂Se₃,2
Ta3N5 (modified with Ge during synthesis),2
[Co(OH)x] (Water Oxidation Catalyst),2
V2O5 nanosheets,2
"S=1/2 centre (e.g., interacting with nitrogen)",2
Objective Lens System,2
[GaAs (Host Semiconductor)],2
[Ge (Dopant Impurity)],2
AlGaAs/GaAs SL (SL1),2
Blocking Barrier,2
u-GaN Nucleation Layer,2
InP:Fe (Regrown),2
QCL Ridge,2
Pt (Anode),2
Ag Dopant,2
Furylfulgide Carboxylate (FFC) Ligands,2
"Barrier Material (e.g., AlGaAs)",2
CdO layer,2
SnO2 layer,2
T (Donor),2
PPI (Acceptor),2
CVD ZnS Cleartran,2
Amorphous CoOx NWs,2
Crystalline Co NPs,2
HgCdTe Alloy Layers,2
Lead acid battery storage system,2
Li-Ion battery storage system,2
"CdTe Quantum Dots (C0, C30, C60, C90, C120)",2
N–TiO2,2
"MEHPPV (poly[2-methoxy-5-(2-ethyl-hexyloxy)-1,4-phenylene-vinylene])",2
GaN Layer (grown on top of the nucleation layer),2
Manganese dioxide (MnO2),2
β-Ga2O3 nanowires,2
MoS2 (Substrate),2
All components same as Device A except,2
Self-regulated Joule-Thomson cooler,2
128x128 infrared detector,2
"Ions (Ar+, SiH3+, SiH2+, etc.)",2
"Silicon Hydride Anions (SiH2-, SiH3-, Si2H4-, Si2H5-)",2
