cluster_id,standard_property,count
cluster_55,band,30
cluster_550,boron,6
cluster_551,oscillations,4
cluster_552,lumo,5
cluster_553,voltage,5
cluster_554,fermi,5
cluster_555,periodicity,5
cluster_556,bond,5
cluster_557,vacuum,5
cluster_558,domain,4
cluster_559,characteristics,3
cluster_56,activation,40
cluster_560,content,5
cluster_561,permittivity,4
cluster_562,heterojunction,5
cluster_563,urbach,5
cluster_564,rate,4
cluster_565,polytype,2
cluster_566,implantation,5
cluster_567,order,5
cluster_568,figure,5
cluster_569,presence,4
cluster_57,reflectance,9
cluster_570,spectra,4
cluster_571,plasmon,2
cluster_572,bands,3
cluster_573,emitter,3
cluster_574,peak,3
cluster_575,enhancement,4
cluster_576,response,1
cluster_577,peak,4
cluster_578,resonant,4
cluster_579,range,2
cluster_58,energy,30
cluster_580,light,2
cluster_581,ellipsometric,1
cluster_582,coefficient,4
cluster_583,pattern,4
cluster_584,quantum,1
cluster_585,infrared,4
cluster_586,potential,2
cluster_587,type,4
cluster_588,stability,4
cluster_589,area,4
cluster_59,temperature,38
cluster_590,excited,4
cluster_591,saturation,3
cluster_592,photocatalytic,4
cluster_593,presence,3
cluster_594,photon,4
cluster_595,strength,3
cluster_596,response,2
cluster_597,morphology,3
cluster_598,device,4
cluster_599,transconductance,4
cluster_6,crystal,63
cluster_60,band,15
cluster_600,relaxation,3
cluster_601,index,4
cluster_602,layer,2
cluster_603,ratio,2
cluster_604,device,4
cluster_605,transient,4
cluster_606,full,4
cluster_607,lifetime,4
cluster_608,rise,4
cluster_609,well,3
cluster_61,interface,34
cluster_610,deep,3
cluster_611,contamination,4
cluster_612,planarity,2
cluster_613,optical,1
cluster_614,structure,2
cluster_615,electronic,3
cluster_616,mirror,2
cluster_617,splitting,4
cluster_618,performance,2
cluster_619,power,3
cluster_62,density,39
cluster_620,microstructure,3
cluster_621,power,4
cluster_622,standard,4
cluster_623,atomic,2
cluster_624,saturation,3
cluster_625,stripe,2
cluster_626,transfer,4
cluster_627,modal,4
cluster_628,growth,2
cluster_629,oxide,3
cluster_63,dislocation,29
cluster_630,defect,3
cluster_631,type,4
cluster_632,alignment,4
cluster_633,preparation,2
cluster_634,state,3
cluster_635,afm,4
cluster_636,orientation,3
cluster_637,density,3
cluster_638,mobility,4
cluster_639,contrast,1
cluster_64,substrate,36
cluster_640,lateral,4
cluster_641,response,4
cluster_642,acceptor,4
cluster_643,content,1
cluster_644,spin,4
cluster_645,resistance,4
cluster_646,active,4
cluster_647,flux,4
cluster_648,binding,4
cluster_649,composition,3
cluster_65,capacitance,37
cluster_650,impurity,4
cluster_651,formation,4
cluster_652,hole,2
cluster_653,gan,4
cluster_654,system,4
cluster_655,vibration,4
cluster_656,power,3
cluster_657,tilt,4
cluster_658,volume,3
cluster_659,distortion,3
cluster_66,film,36
cluster_660,trapping,4
cluster_661,strength,2
cluster_662,domain,4
cluster_663,packing,3
cluster_664,carbon,2
cluster_665,stability,2
cluster_666,nitrogen,4
cluster_667,stoichiometry,4
cluster_668,size,4
cluster_669,decomposition,4
cluster_67,band,25
cluster_670,pressure,4
cluster_671,reduction,1
cluster_672,slope,3
cluster_673,simulation,4
cluster_674,hole,4
cluster_675,electrochemical,3
cluster_676,period,3
cluster_677,spv,4
cluster_678,micro,1
cluster_679,indium,4
cluster_68,efficiency,18
cluster_680,decomposition,4
cluster_681,reverse,4
cluster_682,threading,1
cluster_683,mirror,4
cluster_684,tilt,4
cluster_685,rheed,4
cluster_686,field,4
cluster_687,correlation,4
cluster_688,frequency,4
cluster_689,spin,4
cluster_69,energy,29
cluster_690,noise,3
cluster_691,wavenumber,1
cluster_692,adsorption,4
cluster_693,ratio,3
cluster_694,steps,2
cluster_695,weight,4
cluster_696,cleaning,3
cluster_697,dielectric,2
cluster_698,pit,3
cluster_699,sensitivity,2
cluster_7,concentration,100
cluster_70,structure,20
cluster_700,system,4
cluster_701,distance,2
cluster_702,factor,4
cluster_703,improvement,1
cluster_704,degradation,3
cluster_705,finger,3
cluster_706,schottky,4
cluster_707,voc,4
cluster_708,measurement,1
cluster_709,dipole,4
cluster_71,hole,29
cluster_710,coulomb,4
cluster_711,parameter,4
cluster_712,time,4
cluster_713,orbital,3
cluster_714,nmr,4
cluster_715,image,3
cluster_716,crosstalk,4
cluster_717,weight,4
cluster_718,hardness,3
cluster_719,application,3
cluster_72,depth,33
cluster_720,suitability,1
cluster_721,photoluminescence,1
cluster_722,energy,3
cluster_723,width,3
cluster_724,peak,3
cluster_725,performance,2
cluster_726,raman,1
cluster_727,exciton,3
cluster_728,ratio,2
cluster_729,transition,1
cluster_73,polarization,25
cluster_730,power,1
cluster_731,fwhm,3
cluster_732,transitions,2
cluster_733,shift,3
cluster_734,light,2
cluster_735,shift,3
cluster_736,band,2
cluster_737,distribution,3
cluster_738,temperature,3
cluster_739,angle,3
cluster_74,current,33
cluster_740,kinetics,2
cluster_741,atomic,1
cluster_742,bandgap,2
cluster_743,metal,3
cluster_744,factor,3
cluster_745,spectrum,3
cluster_746,position,3
cluster_747,properties,2
cluster_748,amplification,3
cluster_749,line,2
cluster_75,dielectric,32
cluster_750,near,3
cluster_751,shift,3
cluster_752,monolayer,2
cluster_753,lifetime,2
cluster_754,peak,3
cluster_755,defect,2
cluster_756,etched,3
cluster_757,number,3
cluster_758,window,3
cluster_759,lattice,2
cluster_76,width,14
cluster_760,vertical,2
cluster_761,extinction,1
cluster_762,detector,1
cluster_763,composition,2
cluster_764,sample,3
cluster_765,diameter,1
cluster_766,quantum,3
cluster_767,optical,2
cluster_768,density,3
cluster_769,sihn,1
cluster_77,binding,30
cluster_770,emitter,3
cluster_771,frequency,2
cluster_772,nature,3
cluster_773,stability,3
cluster_774,sio,2
cluster_775,nbe,2
cluster_776,aperture,1
cluster_777,eqe,2
cluster_778,quantum,3
cluster_779,conversion,2
cluster_78,gain,31
cluster_780,width,3
cluster_781,range,3
cluster_782,appearance,2
cluster_783,raman,3
cluster_784,oscillator,3
cluster_785,lateral,1
cluster_786,lattice,1
cluster_787,layer,3
cluster_788,condition,2
cluster_789,threshold,3
cluster_79,saturation,29
cluster_790,doping,3
cluster_791,cooling,2
cluster_792,stability,3
cluster_793,width,3
cluster_794,collector,3
cluster_795,transition,3
cluster_796,air,3
cluster_797,zero,1
cluster_798,offset,3
cluster_799,parameter,3
cluster_8,wavelength,85
cluster_80,bonding,24
cluster_800,wall,1
cluster_801,effective,3
cluster_802,resistance,2
cluster_803,thz,3
cluster_804,output,3
cluster_805,lattice,3
cluster_806,electronic,2
cluster_807,fluctuations,2
cluster_808,concentration,2
cluster_809,concentration,3
cluster_81,roughness,29
cluster_810,effective,2
cluster_811,effective,1
cluster_812,resistance,3
cluster_813,metallization,1
cluster_814,impact,2
cluster_815,value,1
cluster_816,quantum,3
cluster_817,plane,2
cluster_818,lattice,2
cluster_819,bond,2
cluster_82,resistance,21
cluster_820,bond,2
cluster_821,segregation,3
cluster_822,confinement,2
cluster_823,stability,3
cluster_824,molar,3
cluster_825,propagation,3
cluster_826,mobility,3
cluster_827,total,2
cluster_828,vibrational,2
cluster_829,acceptor,2
cluster_83,distance,22
cluster_830,tuning,3
cluster_831,characteristic,3
cluster_832,interdiffusion,1
cluster_833,open,3
cluster_834,interconnection,1
cluster_835,etch,3
cluster_836,content,1
cluster_837,shift,3
cluster_838,potential,3
cluster_839,constants,2
cluster_84,bond,21
cluster_840,deg,3
cluster_841,qds,3
cluster_842,structure,2
cluster_843,coulomb,1
cluster_844,factor,3
cluster_845,solar,3
cluster_846,size,2
cluster_847,acceptor,3
cluster_848,size,3
cluster_849,chemical,1
cluster_85,bandwidth,24
cluster_850,spectroscopy,2
cluster_851,parasitic,3
cluster_852,presence,1
cluster_853,alignment,2
cluster_854,interface,2
cluster_855,parameter,3
cluster_856,vacancy,3
cluster_857,number,1
cluster_858,equivalent,3
cluster_859,presence,2
cluster_86,ratio,26
cluster_860,cbm,3
cluster_861,behavior,3
cluster_862,type,2
cluster_863,content,1
cluster_864,drain,3
cluster_865,hydrogen,2
cluster_866,content,3
cluster_867,area,2
cluster_868,presence,2
cluster_869,charge,2
cluster_87,dark,26
cluster_870,content,1
cluster_871,stretching,3
cluster_872,cycles,2
cluster_873,tauc,2
cluster_874,graphene,3
cluster_875,loss,3
cluster_876,jsc,3
cluster_877,magnetic,3
cluster_878,characteristics,2
cluster_879,strength,3
cluster_88,band,13
cluster_880,content,2
cluster_881,hall,3
cluster_882,model,2
cluster_883,auger,3
cluster_884,number,2
cluster_885,mosaic,3
cluster_886,radius,2
cluster_887,critical,3
cluster_888,slope,3
cluster_889,jsc,3
cluster_89,frequency,27
cluster_890,synthesis,3
cluster_891,aggregation,3
cluster_892,size,3
cluster_893,carbon,3
cluster_894,inclination,1
cluster_895,residual,2
cluster_896,substrate,1
cluster_897,substitution,1
cluster_898,reconstruction,2
cluster_899,rate,3
cluster_9,doping,93
cluster_90,composition,27
cluster_900,diode,3
cluster_901,enthalpy,2
cluster_902,content,3
cluster_903,dot,4
cluster_904,position,1
cluster_905,open,3
cluster_906,not,3
cluster_907,voids,2
cluster_908,cell,2
cluster_909,parameter,3
cluster_91,light,15
cluster_910,mean,3
cluster_911,incorporation,3
cluster_912,oscillations,2
cluster_913,junction,3
cluster_914,distribution,3
cluster_915,model,3
cluster_916,capacity,3
cluster_917,noise,3
cluster_918,open,3
cluster_919,impedance,3
cluster_92,barrier,23
cluster_920,state,2
cluster_921,rate,3
cluster_922,stretching,2
cluster_923,design,1
cluster_924,shell,3
cluster_925,screw,3
cluster_926,reproducibility,3
cluster_927,dose,3
cluster_928,cost,3
cluster_929,susceptibility,3
cluster_93,presence,26
cluster_930,interdot,2
cluster_931,catalytic,1
cluster_932,shift,3
cluster_933,formation,3
cluster_934,loss,3
cluster_935,coordination,3
cluster_936,characteristics,2
cluster_937,bleaching,2
cluster_938,quasi,1
cluster_939,ablation,3
cluster_94,mobility,23
cluster_940,optimal,1
cluster_941,redox,3
cluster_942,number,3
cluster_943,twin,1
cluster_944,probability,3
cluster_945,rate,3
cluster_946,weight,3
cluster_947,mask,3
cluster_948,removal,1
cluster_949,functional,1
cluster_95,exciton,25
cluster_950,coefficient,2
cluster_951,pec,2
cluster_952,loading,2
cluster_953,quenching,2
cluster_954,presence,1
cluster_955,not,4
cluster_956,non,2
cluster_957,inhomogeneity,1
cluster_958,viability,2
cluster_959,nedt,1
cluster_96,stress,23
cluster_960,rectifying,1
cluster_961,error,3
cluster_962,presence,2
cluster_963,coordinates,3
cluster_964,effect,3
cluster_965,haze,3
cluster_966,dbr,3
cluster_967,cost,3
cluster_968,inductance,2
cluster_969,occupation,3
cluster_97,laser,21
cluster_970,edx,1
cluster_971,occupancy,3
cluster_972,empirical,2
cluster_973,endurance,2
cluster_974,intensity,2
cluster_975,two,1
cluster_976,spontaneous,1
cluster_977,intensity,2
cluster_978,spectroscopy,2
cluster_979,energetic,1
cluster_98,linewidth,21
cluster_980,energy,2
cluster_981,maximum,1
cluster_982,mechanism,1
cluster_983,ratio,2
cluster_984,exciton,1
cluster_985,band,2
cluster_986,maximum,2
cluster_987,temperature,1
cluster_988,photovoltage,2
cluster_989,minimum,1
cluster_99,spacing,22
cluster_990,exciton,2
cluster_991,deep,1
cluster_992,photosensitive,1
cluster_993,peak,2
cluster_994,efficiency,2
cluster_995,contrast,1
cluster_996,lateral,1
cluster_997,peak,1
cluster_998,current,1
cluster_999,plasmonic,1
