Main Term,Count
"Adsorbed Dye",1
"Spatial Uniformity",1
"Defect Transition Level",1
"Grating Width",1
"Atomic Ordering",1
"Gate Threshold Voltage",1
"Blue-Shift",1
"Capacitance-Voltage Hysteresis",1
"Room temperature PL intensity",1
"Band Diagram Structure",1
"Presence of electron traps",1
"Dark Current Components",1
"Electron current density",1
"Spectral Shape",1
"Circular Dichroism",1
"Voids Density",1
"FWHM of Rocking Curve",1
"Nonradiative recombination time",1
"Effective Conduction Band Density",1
"Ligand exchange",1
"Maximum operating frequency",1
"Biexciton lifetime",1
"Asymmetry",1
"CO2 Emissions",1
"Structural disorder",1
"Polarization Extinction Ratio",1
"Hole Concentration in MQW",1
"Heterogeneous Strain",1
"Carrier distribution",1
"Concentration Range",1
"Resistance ratio",1
"Electrode dimensions",1
"Coercive Force",1
"Surface Faceting",1
"Intermixing",1
"Gallium concentration",1
"Surface species",1
"Localization Depth",1
"Cross-sectional Area",1
"Detector type",1
"Surface binding energy",1
"Surface Reactivity",1
"XPS Analysis",1
"Distribution coefficient",1
"Dissolution Rate",1
"Extinction Cross Section",1
"Vertical Ionization Potential",1
"sp3 Content",1
"Punch-Through Voltage",1
"AlAs Mole Fraction",1
"Bulk Band-gap",1
"Dominant Transport Mechanism",1
"Total Transmission",1
"Dominant Conduction Mechanism",1
"Substrate preparation",1
"FMR Linewidth",1
"Phonon stability",1
"Not specified in the document",1
"Noise characteristics",1
"Reset Time",1
"Surface profile",1
"ZT",1
"Condition",1
"Na content",1
"Composition of NW Body - Growth Catalyst Pretreatment Substrate Surface Potential",1
"Effective External Differential Quantum Efficiency",1
"Layer-by-layer Growth",1
"Photoluminescence - Band Edge Emission",1
"Complex Refraction Index",1
"Zero-bias conductance",1
"Rising Time of Photocurrent",1
"Number of atoms in 2 × 2 × 2 supercell vibrating along z direction with π phase difference",1
"Electron ground state energy",1
"Temperature Coefficient of Open-Circuit Voltage",1
"Gap Dimensions",1
"Oxide aperture diameter",1
"Crystalline Phase Presence",1
"Photocurrent Quantum Yield",1
"Average distance between QDs",1
"Raman shift",2
"DC Electrical Resistivity",1
"Photovoltage Transient",1
"Hydrostatic strain",1
"Activation Energy of Carrier",1
"Impurity Level Energy",1
"Photocatalytic degradation rate of MO",1
"Hall Electron Concentration",1
"Output wavelength",1
"Dark Current Reduction",1
"Cavity mode linewidth",1
"Quantum Size Effect",1
"Presence of BN Phase",1
"Near-Band-Edge PL Emission Intensity",1
"FWHM of ω rocking curve",1
"Oxygen 1s XPS Peak",1
"Electron sheet concentration",1
"Maximum Optical Power",1
"Frequency dispersion of C–V",1
"Quantum Dot Density",1
"Activation Energy for resistivity",1
"Breakdown voltage temperature coefficient",1
"Small-Signal Parameters",1
"Island Formation",1
"Photon-extraction Efficiency",1
"Nanoparticle Diameter",1
"Central emission wavelength",1
"Raman mapping",1
"Temperature Control",1
"Base Resistivity",1
"Positron trapping rate",1
"Complex Conductivity",1
"Density of Defect States",1
"Spectral Efficiency",1
"Background Concentration",1
"Resonance spectral width",1
"Etch Resistance",1
"Bulk conductivity",1
"Low-Frequency Noise",1
"Superconductivity",1
"Beam Width",1
"Adsorption geometry",1
"Real part of optical conductivity",1
"Quantum Detection Efficiency",1
"Plastic Relaxation",1
"Pitch size",1
"Recovery Rate",1
"Mass Spectrometry",1
"EBIC Signal",1
"Sheet Conductance",1
"Atomic position",1
"Interfacial Area",1
"Mass spectrum",1
"FWHM of PL spectrum",1
"Absorption Rate",1
"Biaxial Residual Stress",1
"Current Ratio",1
"Built-in voltage",1
"Effective Potential Height",1
"Ground state",1
"Voltage response",1
"Incident angle",1
"Photoluminescence enhancement factor",1
"Electronic Polarizability",1
"Onset Temperature",1
"Corrosion Current Density",1
"Grain Boundary Fractions",1
"Weibull Modulus",1
"Dingle temperature",1
"Residue",1
"Hydrodynamic radius",1
"Photoresponse Time Constant",1
"Charge recombination rate",1
"Compressive biaxial stress",1
"UV Responsivity",1
"Heat of Reaction",1
"Excess Loss",1
"Bipolar Diffusion Coefficient",1
"Molar Amount",1
"J0",1
"Aperture Area",1
"Absorption Index",1
"Type of Component",1
"Response to NO2",1
"Characteristic Decay Time of Photoresponse",1
"Wavelength Shift with Temperature",1
"Dislocation loops",1
"Free Carrier Concentration Profile",1
"Raman Spectrum Shape",1
"Lattice Mismatch with GaSb Substrate",1
"Optical Absorption Gap",1
"Luminescence Quantum Efficiency",1
"Imaginary Part of Dielectric Function Peaks",1
"GaN/AlN Interface Sharpness",1
"Irradiation conditions",1
"Photoluminescence Peak Position Shift",1
"Net Peak Quantum Efficiency",1
"Cross-sectional Geometry",1
"N–H Bond Length",1
"Hall-hole concentration",1
"Bend loss",1
"Monolayer Nature",1
"Admittance Spectra",1
"Dislocation bending",1
"Intraband Absorption Peak",1
"Third-order Intermodulation Distortion",1
"Size Distribution",1
"Inter-atomic distances",1
"Electron diffraction pattern",1
"Valence",1
"Band gap tuning",1
"Band Gap Value",1
"Thermoelectric power factor",1
"Doping Type and Resistivity",1
"NIR Emission Intensity",1
"Film Adhesion",1
"Laser Cavity Length",1
"THz Output Power",1
"Step-bunching",1
"Exciton Decay Times",1
"Photocatalytic Hydrogen Production",1
"C1s binding energy",1
"Shallow uniform donor density",1
"Drain Voltage",1
"Excitation Spectrum Feature",1
"Amount of adsorption",1
"Interface Reaction",1
"Arm Length",1
"Depletion Capacitance",1
"Modal Absorption",1
"In/N Ratio",1
"Roughness Exponent",1
"SHG Intensity",1
"Number of bound states",1
"Green Emission Peak",1
"Net Doping Level",1
"Average Dot Size",1
"Molar Concentration",1
"Open circuit potential",1
"Radiative Rate",1
"Electrical transport",1
"Carrier confinement",1
"Total Output Power",1
"Valence state of S",1
"Energy transfer rate",1
"Module Structure",1
"PL Line Energy",1
"Layer Density",1
"Dissociation constant",1
"Energy of Photon",1
"Background impurity concentration",1
"Bond Density",1
"Cavity Depth",1
"Complementary Transition Energy Threshold",1
"Vertical breakdown voltage",1
"Surface Layer",1
"Hamiltonian",1
"Presence in composite",1
"Damping factor",1
"Periodicity of SL",1
"In Incorporation Dependence",1
"Element size",1
"Switching Ratio",1
"Visible light transmittance",1
"Adsorption capacity",1
"Precision",1
"DC Responsivity",1
"Compressive Strength",1
"Electrophilicity",1
"Linear Response Range",1
"Electrode Separation",1
"Buffer Leakage Current",1
"Growth Outcome",1
"Luminescence Coupling Current Difference",1
"Integrated Defect Density",1
"Softness",1
"Color Temperature",1
"Contribution",1
"Interlayer separation",1
"Interface clarity",1
"Kinetic Energy",1
"AlN Surface Morphology",1
"Low-Temperature Photoluminescence",1
"Presence of Edge-type Dislocations",1
"Energy Separation between Ground State and First Excited State",1
"Pressure dependence of band gap",1
"Photovoltage Spectral Response",1
"In/Ga flux ratio",1
"Three-terminal breakdown voltage",1
"Luminescence Lifetimes",1
"Emission Band Gap",1
"Blueshift of emission peak wavelength",1
"Temperature dependence of responsivity",1
"Si Donor Activation Energy",1
"Two-Photon Absorption Cross-Section",1
"Periodic Structure",1
"Photocurrent On/Off Ratio",1
"NIR absorption",1
"Diffraction Peak",1
"Dielectric tensor components",1
"Nitride Layer Thickness",1
"sp2 Carbon Content",1
"Carrier recombination",1
"Surface Oxygen Content",1
"Coating Uniformity/Conformality",1
"Manganese Concentration",1
"Momentum relaxation time",1
"Experimental setup",1
"Substrate Effect",1
"Laser Linewidth",1
"Intermediate Band",1
"Heat Flux",1
"Exciton g-factor",1
"Reverse I-V Characteristics",1
"Intramolecular charge transfer",1
"Tauc Slope",1
"E2 Peak Position",1
"Sn Oxidation States",1
"Standard Deviation of Barrier Height",1
"Model structure",1
"Dislocation Propagation",1
"Bit-Error-Ratio",1
"Photoionization Threshold Energy",1
"Molar Extinction Coefficient",1
"Oval defect density",1
"Residual layer thickness",1
"Ionized Acceptor Concentration",1
"Pinch-off characteristics",1
"Boron Incorporation",1
"Stability under illumination",1
"Inter-particle Spacing",1
"Shockley-Read-Hall lifetime",1
"PV Cell Temperature",1
"Collector current density",1
"Transparency Range",1
"Band gap shift",1
"Relative Elemental Composition",1
"Specular Reflectance",1
"Modulation Speed",1
"Thermal Performance",1
"Inversion Domain Density",1
"Heat Transfer",1
"Open-Circuit Voltage Deficit",1
"Twin Density",1
"Sublimation Temperature",1
"Fowler-Nordheim plot linearity",1
"Occupancy",1
"Trap E1",1
"Spacing between elements",1
"Homogeneous linewidth",1
"Spectral Shift",1
"Ridge Height",1
"Power dependence exponent",1
"Packaging",1
"Valence State of Cu",1
"Acceptor Density",1
"PLE Absorption Edge",1
"Phase Confirmation",1
"Sample geometry",1
"Band Structure Character",1
"Oxygen coverage",1
"XRD spectrum",1
"Detection accuracy",1
"Bulk Carrier Lifetime",1
"Ion/Off Ratio",1
"DC Transconductance",1
"Residual carrier density",1
"Phosphorus content",1
"Noise performance",1
"Interface Transparency",1
"Illumination Condition",1
"Overhauser shift",1
"MCL spectrum",1
"Functionalization",1
"Two-dimensional electron gas mobility",1
"Trap levels",1
"Interlayer Formation",1
"Contamination Level",1
"Optical Ionization Energy",1
"Photopotential",1
"Driving Voltage",1
"Multiplication Gain",1
"Energy resolution",1
"Modification",1
"Storage modulus",1
"Technology node",1
"Diamagnetic Susceptibility",1
"Electroluminescence Emission Energy",1
"Temperature Dependence of Absorption",1
"Exciton Emission Peak",1
"UV–vis absorption peak position",1
"Far-Field Full Width at Half Maximum",1
"Direct-indirect bandgap transition",1
"Luminescence spectrum shape",1
"Deep Level Luminescence",1
"Coating Morphology",1
"Al Composition in Barrier",1
"N2 Adsorption-desorption",1
"Integrated PL Intensity vs. Temperature Decay",1
"Polarization Field Strength",1
"Hole transport layer",1
"Catastrophic Optical Damage Threshold",1
"Presence of Rotational Domains",1
"Waveguide Cross-section",1
"Spontaneous recombination lifetime",1
"Fluorescence Excitation Spectrum",1
"Presence of localized states below band gap",1
"Concentration in film",1
"Phosphorous Concentration",1
"Spectral Power Density",1
"Twin boundaries",1
"Uniformity and Diameter",1
"Raman Band Intensity Ratio",1
"Blend Film Morphology - Surface",1
"C impurity concentration",1
"Emission Stability",1
"Dark Current Stability",1
"Oxidation Temperature",1
"Iodine concentration",1
"Bandgap tunability",1
"Activation energy for annealing",1
"PL Lifetime component",1
"Hot Carrier Cooling Time",1
"Arsenic Incorporation",1
"Onset Oxidation Potential",1
"Blend film absorption spectrum",1
"Electron Saturation Velocity",1
"Mesa Isolation",1
"Spectral emissivity",1
"Resonator Structure",1
"Nanowire alignment",1
"Contact resistance",1
"Growth Polarity",1
"Oxygen Self-diffusion Coefficient",1
"System-wide structural properties",1
"Lattice Radius Curvature",1
"Fluorescence stability",1
"Minority-carrier mobility",1
"Island morphology",1
"Emission Area",1
"Nanorod alignment",1
"Bandgap tuning",1
"Al composition gradient",1
"Activation Energy for Diffusion",1
"Data transmission rate",1
"CT-state Energy",1
"Radiative Voltage Losses",1
"ECL Intensity",1
"IPCE at peak",1
"Length and Diameter",1
"Distance Between Electrodes",1
"2θ",1
"Normalized Intensity",1
"Charge Carrier Type",1
"Vacuum Rabi splitting",1
"Emitter Temperature",1
"Solubility Limit",1
"Chemical state of Cu",1
"Fitting parameter",1
"Mott-Schottky Analysis",1
"Minimum Channeling Yield",1
"Carrier concentration",3
"PL Quenching Rate",1
"Hydrogen Incorporation",1
"Magnetic Coupling",1
"Erosion rate",1
"Effective Rydberg",1
"Antimony Content",1
"Stern–Volmer Constant",1
"Optical Bandwidth",1
"Absorption Wavelength",1
"Spectral transmittance",1
"Current-Voltage Behavior",1
"Noise voltage",1
"Maximum Continuous Wave Output Power",1
"Interface Stability",1
"Mode Field Diameter",1
"Reaction Energy",1
"Channel depth",1
"Absorptance Spectra",1
"Pit formation",1
"Impedance Spectroscopy",1
"Coloration Efficiency",1
"PL Emission Maxima",1
"Superconducting Critical Temperature",1
"Installed Capacity",1
"Interchain Distance",1
"Number of Repeats",1
"Site Occupancy",1
"FT-IR Bands",1
"Photovoltaic performance in DSSC",1
"Cycling performance",1
"Characteristic Parameter",1
"Back contact",1
"Surface Characterization",1
"Strain profile",1
"Al composition",1
"Na Concentration",1
"NEdT",1
"Total pressure",1
"Goldschmidt tolerance factor",1
"Reaction Temperature",1
"Production rate",1
"Number of QW Periods",1
"Crystal Shape",1
"Absorption Edge Sharpness",1
"Design Wavelength",1
"Polymorph",1
"Interparticle spacing",1
"Alkaline Phosphatase Activity",1
"Thermodynamic properties",1
"Output",1
"Energy Dispersive X-ray spectroscopy",1
"Nucleation and Growth",1
"Exciton-LO phonon coupling strength",1
"Pulsed operation maximum temperature",1
"Crosstalk between adjacent channels",1
"Intrinsic carrier concentration",1
"Forward Current–Voltage Characteristics",1
"Wavelength Tunability",1
"Change in Conductivity",1
"Si Diffusion",1
"Raman LO Peak",1
"Luminance–voltage characteristics",1
"Orientation and Crystalline Quality",1
"Shift Rate of Band Gap",1
"Normal Incidence Reflectivity",1
"Impedance matching",1
"Morphology after Annealing",1
"Presence of hydroxyl groups",1
"Diffuse reflectance spectrum",1
"Sn/O Ratio",1
"Residual Impurity",1
"Nucleation temperature",1
"Humidity Effect",1
"Etch Rate vs. Temperature Behavior",1
"Temperature-dependent EL intensity",1
"PL Band Energy",1
"Mid-gap States",1
"Emission Enhancement",1
"Hexagonal Inclusions",1
"Photon recycling effect",1
"Substrate Off-cut Angle",1
"Kinetic Rate Constant",1
"Gain compression factor",1
"Infiltration",1
"PL Peak Intensities",1
"X-ray Full Width at Half Maximum",1
"Charge trapping",1
"Cyclotron Resonance Energy",1
"Local electrical conductivity",1
"Microcracks",1
"Majority Carrier Type",1
"Plasma density",1
"Depth from surface",1
"Simulation",1
"Pseudo-first-order rate constant",1
"Primary Imprint Pattern",1
"Residual Acceptor Type",1
"Real part of dielectric constant",1
"Absorption onset energy",1
"Excitation density",1
"Oxygen deficiency",1
"Evaporation rate",1
"Amplitude ratio",1
"Peak ratio",1
"Desorption",1
"XPS O 1s",1
"C-V Profile Shape",1
"Intermolecular Interaction",1
"Rocking Curve Linewidth",1
"Peak Power Efficiency",1
"Lateral Width",1
"Hole Trap Density",1
"Temperature Uniformity",1
"Pattern formation",1
"Number of Cells",1
"Surface Atomic Composition",1
"Perpendicular strain",1
"Cylinder Radius",1
"Dilution",1
"Average distance",1
"Surface reflection",1
"Upconversion Quantum Yield",1
"Lattice Parameter Shift",1
"Electron Lifetime",1
"Nominal Concentration",1
"Transmittance edge",1
"PL Peak Blueshift",1
"Voltage Loss",1
"Cleaning Method",1
"Substrate Resistivity",1
"Spectral overlap",1
"S Concentration",1
"MCL intensity",1
"O/Ti Ratio",1
"Longitudinal Sound Velocity",1
"RA-product",1
"Peak Reflectance Wavelength",1
"InAs Mole Fraction",2
"Noise Temperature",1
"Thermal Transition",1
"B 1s Binding Energy",1
"Parameters",1
"Operating pressure",1
"Photoresistance",1
"Cell configuration",1
"Afterpulsing Probability",1
"Parameter E0",1
"Surface Symmetry",1
"Photoluminescence Emission Maximum",1
"Raman Mode FWHM",1
"Photocatalytic stability",1
"Experimental Setup Configuration",1
"Vickers Microhardness",1
"Stretch Frequency",1
"Crystal face",1
"Layer Type",1
"Presence/Deposition",1
"Voltage Gain",1
"CL FWHM",1
"Compensation",1
"Bandgap energy shift",1
"Charge distribution",1
"Nominal diameter",1
"Off Angle",1
"Treatment",1
"Nanohardness",1
"Te Inclusion Concentration",1
"Contact behavior",1
"SEM observation",1
"Number of SILAR Cycles",1
"Atomic content",1
"Metric 33",1
"Phonon temperature",1
"Donor acceptor pair transition energy",1
"Hole Blocking",1
"Mesa structure diameter",1
"Near-field enhancement",1
"Excited Singlet State Energy",1
"Si 2p Peak II",1
"Active Region Temperature Rise",1
"Presence of Ga droplets",1
"Dislocation Structure",1
"Real part of dielectric function at 0 eV",1
"Lasing Spectrum Width",1
"Presence of Ga–O Bond",1
"FWHM of First Order Satellite Peak",1
"Carrier freeze-out",1
"Photoluminescence spectrum width",1
"Detector Temperature Control",1
"Pillar morphology",1
"Dark Line Defects",1
"Presence of C=O Group",1
"Defect traps",1
"Exciton luminescence",1
"Ground State PL Emission Wavelength",1
"Crystallinity and preferred orientation",1
"Mechanical Stress/Strain",1
"Morphology Uniformity",1
"Tunneling Time",1
"Cavity Decay Rate",1
"Substrate Removal",1
"Fraction of sp2 Carbon",1
"Influence on Ga Desorption Rate",1
"Mesa Side Wall Angle",1
"Mean-square roughness",1
"Threshold Current Density vs Temperature",1
"Crystalline Grain Size",1
"X-ray Diffraction Satellite Peak Quality",1
"Receiver Noise Temperature",1
"Optical Modulation Bandwidth",1
"Anti-interference Ability",1
"Interference Oscillations",1
"Schematic Layer Structure",1
"BX Bond Length",1
"Diffusion Profile",1
"Gate-to-Source Spacing",1
"Electrochemical active surface area",1
"PC Decay Time Constant",1
"Divergence Angle",1
"Localized States",1
"Average resistivity",1
"Material Usage",1
"Schematic Layout",1
"Crystal thickness",1
"Enhancement Factor for PL Intensity",1
"Base doping",1
"Core-Shell Interface",1
"sp3 Fraction",1
"Bit Rate",1
"Contact Diameter",1
"Amorphization",1
"Contribution to Dispersion Stability",1
"Hopping distance",1
"Sensitivity Range",1
"Vibration Mode",1
"O−H bond length",1
"Background Carrier Density",1
"-3 dB Response Frequency",1
"Inter-pore Distance",1
"Redox Peaks Potential",1
"Current sensitivity",1
"Ion Density",1
"Buckling height",1
"Shelf Life",1
"Microcavity structure",1
"SPV Signal Intensity",1
"Cavity Modes",1
"Presence of deep traps",1
"Optimized lattice constant",1
"Thermal quenching",1
"Elemental Concentration",1
"Heterointerface Quality",1
"Defect propagation",1
"Vertical Divergence",1
"Si incorporation",1
"Weight Loss Temperature",1
"Modulation period",1
"Bader Charge Analysis",1
"Effective Composition",1
"Microtwins",1
"H Content",1
"Radiance",1
"Voltage Sensitivity",1
"Surface Ordering",1
"Spectral transmission",1
"Unintentional doping",1
"Beam Quality",1
"Sputtering rate",1
"Modulation Transfer Function",1
"Degree of Disorder",1
"Optical Activity",1
"Formation Temperature",1
"Edge termination",1
"Junction Ideality Factor",1
"Temperature Reduction",1
"Mesoporous structure",1
"Indentation hardness",1
"NBE Emission Peak Position",1
"Crystal Structure and Symmetry",1
"Cd/S Ratio",1
"Surface Uniformity",1
"Structural order",1
"Planar defects density",1
"Power generation",1
"Epitaxial alignment",1
"Multiplication Factor",1
"Domain Width",1
"Warburg impedance",1
"Set Voltage",1
"Power Handling",1
"Integrated Oxygen Sheet Concentration",1
"Peak wavelength shift",1
"Grain density",1
"Gate Dimensions",1
"Ellipsometry",1
"Areal Capacitance",1
"Mesa Depth",1
"Stacking order",1
"Applied Bias",1
"Operating principle",1
"TGA",1
"Capacitance Modulation",1
"Mode shift",1
"Electronic Character",1
"Solution Resistance",1
"Potential Energy",1
"Base Material",1
"Gap voltage",1
"Cl Content",1
"Ground state photoluminescence peak wavelength",1
"Presence of Coupled Phonon-Plasmon Mode",1
"Number of PL Peaks",1
"Superlattice Total Thickness",1
"Exciton Polarization Splitting",1
"Growth Temperature",4
"DAP Emission Energy",1
"Cross-sectional Morphology at Interface",1
"Etching Uniformity",1
"Surface morphology",3
"Optical Coupling",1
"Cross-sectional Morphology of the Trench",1
"Quantum dot emission intensity",1
"E2 phonon mode FWHM",1
"Optimal Growth Conditions",1
"Substrate quality influence",1
"Photocarrier Mobility",1
"FWHM of emission",1
"Oxygen Vacancies",1
"Inversion Domain Boundaries",1
"Counter Electrode",1
"Optical -3 dB Bandwidth",1
"Maximum Power",1
"Spectral diffusion",1
"Fiber-to-fiber Loss",1
"Fe Doping",1
"MBE Growth Rate",1
"Si-C bond stretching mode",1
"Hall Mobility",1
"Photovoltaic response peak",1
"Defect Location",1
"LSPR Peak Wavelength",1
"Dislocation Presence",1
"Finger gap",1
"Charge transfer resistance at photoanode interface",1
"Light Intensity Exponent",1
"Minimum Bandgap",1
"Ga Flux",1
"Band gap tunability",1
"Field of View",1
"Singlet-Triplet Energy Gap",1
"Photocorrosion stability",1
"Conductivity Pre-exponential Factor",1
"Shell radius",1
"Not explicitly reported for this specific system in the provided text",1
"Grating type",1
"Readout Scheme",1
"Doping uniformity",1
"Electron traps",1
"Presence of V-pits",1
"Presence of ZnO Phase",1
"Ion dose",1
"Ferroelectric Phase Transition Temperature",1
"SdH Oscillation",1
"FWHM of X-ray omega scan",1
"Presence of MoS2",1
"Photoluminescence Spectroscopy",1
"Luminescence Band Position",1
"Relative Intensity Ratio",1
"Molecular weights",1
"Band Energy",1
"Trap distribution",1
"Point Defect Concentration",1
"Interaction strength",1
"Presence of 2DEG",1
"Back contact material",1
"Morphology Stability",1
"Volume Fraction of Voids",1
"Haze in Transmission",1
"Geometrical Concentration Ratio",1
"Channel Morphology/Structure",1
"Depth distribution",1
"Lattice mismatch strain",1
"RhB Photodegradation",1
"Thickness Control",1
"Thickness/Presence",1
"Epitaxy relationship",1
"Ambient temperature",1
"Magnification",1
"Number of mirror pairs",1
"Strain compensation",1
"Inhomogeneous Linewidth",1
"Surface Carbon Content",1
"Transmission Characteristics",1
"X-ray Absorption Spectrum",1
"Concentration of Neutral Mg Acceptors",1
"Zone-center Optical Phonon Frequency",1
"Electroluminescence Emission Wavelength",1
"Peak to Valley Ratio",1
"Cutoff Voltage",1
"Isolation Current",1
"Energy states",1
"Power Loss",1
"Beam flux",1
"Depth Resolution",1
"Epilayer Structure",1
"Green emission peak position",1
"Integrated Absorption",1
"Photocurrent Contribution",1
"Thickness per well",1
"Third-Order Susceptibility",1
"Scattering Intensity",1
"Bandgap nature",1
"Band Edges",1
"Composition control",1
"TSC Peak Temperature",1
"2DEG Formation",1
"Interlayer Stacking",1
"Ferromagnetic Ordering Temperature",1
"Mean Time to Failure",2
"In content",1
"Implantation",1
"Eu3+ Emission Intensity",1
"Interface Passivation Quality",1
"Contribution to CBM",1
"Contribution to VBM",1
"Transport Effective Mass",1
"Lasing Spectra",2
"Optimum Thickness",1
"Emission Line Position",1
"Nonlinear susceptibility",1
"Bandgap reduction",1
"Vibrational Frequencies",1
"Mesa sidewall morphology",1
"Interface Location",1
"Average Efficiency",1
"Separation distance",1
"Characteristic peaks",1
"Mass sensitivity",1
"Light Yield",1
"Aggregation State",1
"Interface reactivity",1
"Solar Cell Parameters",1
"Recombination coefficient",1
"Threshold Wavelength",1
"Polarization Degree",1
"Peak Transition Energy",1
"Resistivity Ratio",1
"Total Reflection",1
"Abundance",1
"ESR spin density",1
"Role in System",1
"Te concentration",1
"Net Acceptor Density",1
"Diffraction peak shift",1
"Maximum Stable Gain",1
"Vertical Transition Energy",1
"Optical appearance",1
"Growth Status",1
"Reaction time",1
"Film coverage",1
"Parasitic Parameters",1
"EL intensity versus driving current",1
"Interface morphology AlN/GaN",1
"Photocurrent Spectrum Peak Energy",1
"Zn-to-O Ratio",1
"Exfoliation",1
"Cu–N Bond Length",1
"Single-mode Output Power",1
"E2 Phonon Peak Position",1
"Morphology of ZnO NRs",1
"Photoluminescence Intensity",1
"Band-Gap Shrinkage",1
"Excitation wavelength dependence",1
"Green luminescence wavelength",1
"Dark current noise power spectral density",1
"Spectral Response Cutoff Wavelength",1
"In/S Atomic Ratio",1
"Mesa Morphology",1
"Bimolecular recombination rate",1
"MoSe2 Layer Thickness",1
"Strain anisotropy",1
"Grating length",1
"Polarity Inversion",1
"Strain State of MQW",1
"Potential for optoelectronic devices",1
"Si–C Bond Concentration",1
"Electron Trap Energy",1
"Effective Interface Layer Refractive Index",1
"Emission Angle",1
"Doping Effect",1
"UV Photonic Emission",1
"Presence of etch pits",1
"Aperture Area Efficiency",1
"Temperature Dependence of Jsc",1
"Total SL Thickness",1
"Excitonic Emission",1
"Binding Energies",1
"PL spectrum peak positions",1
"Molar Ratio",1
"Bandgap Narrowing",1
"Valence band tail slope",1
"Power added efficiency",1
"THz Excitation Spectrum",1
"S/Metals ratio",1
"Chemical Composition and Valence States",1
"Detection Wavelength",1
"Oscillation amplitude",1
"Illumination Wavelength",1
"Minimum Linewidth",1
"Minimum Detectable Concentration",1
"Spectral Broadening",1
"Surface Area and Porosity",1
"GaN Etch Rate",1
"Propagation delay",1
"Activation Energy of Saturation Current",1
"Impurity Density",1
"Si/H2 ratio",1
"Self-heating effect",1
"Oxide Removal Efficiency",1
"PL Broad Band",1
"Pinholes",1
"Maximum power current",1
"Tunnel Resistance",1
"Valence band effective mass",1
"Surface Trap Density",1
"Frequency bandwidth",1
"Photo-stability",1
"Annual Energy Generation",1
"Temperature Effects",1
"Field-effect mobility",1
"PL spectral width",1
"Crystal Fraction",1
"PL Lifetime",2
"Effective Energy Barrier",1
"Linear Detection Range",1
"Hysteresis width",1
"Subsurface Damage",1
"Background Limited Infrared Performance Temperature",1
"Damage Threshold",1
"Device yield",1
"Transition Type",1
"Block Diagram",1
"LSPR Peak",1
"Electrochemical LUMO level",1
"Edge Dislocations Density",1
"Mean Particle Diameter",1
"Light Output Power Enhancement Factor",1
"Gas Flow Rate",1
"Gap Separation",1
"Dielectric Thickness",1
"Capture barrier",1
"Exchange energy",1
"Attempt-to-escape Frequency",1
"Hole extraction time",1
"IPCE peak wavelength",1
"Sphere Diameter",1
"Electrochromic switching",1
"Electrochemical Signal",1
"JV Curve Shape",1
"System-wide Structural/Morphological Characterization",1
"XRD Satellite peaks",1
"Blend Absorption",1
"Spontaneous Emission Coupling Factor",2
"First Vertical Excitation Energy",1
"Al Incorporation",1
"Cavity Finesse",1
"Cleanliness",1
"Residual Non-Uniformity",1
"Dot radius",1
"Cladding Diameter",1
"Bi composition",1
"Average Optical Transparency",1
"Vacuum level",1
"Failure Mechanism",1
"Mass Gain Per Cycle",1
"Maximum Light Output Power",1
"Valley current density",1
"Branching ratio",1
"Interfacial Roughness",1
"Removal Rate",1
"Skin depth",1
"Tube Length",1
"C-V Behavior",1
"Activity Coefficient",1
"Monolayer Coverage",1
"Branch Point Energy",1
"Edge-type TDD",1
"τ",1
"PL Decay Rate",1
"QD Shape",1
"Cathodic Photocurrent",1
"Depletion Region Thickness",1
"Charge Carrier Dynamics",1
"Response Spectrum",1
"C/O Ratio",1
"Projected Density of States",1
"QW Material",1
"Area Fraction",1
"Input Power",1
"Specific power",1
"Lateral Homogeneity",1
"Boiling point",1
"SAW Velocity",1
"Presence/Identity",1
"Solvent Resistance",1
"Shell material",1
"InN fraction",1
"Decomposition Products",1
"Functional metrics",1
"EIS Parameter",1
"Off-Axis Angle",1
"Etch Angle",1
"Persistent photocurrent",1
"Crystal dimensions",1
"Thermal Boundary Conductance",1
"Vertical Etch Rate",1
"Bonding States",1
"Growth pattern",1
"Particle Shape",1
"Dynamical Stability",1
"Presence/Incorporation",1
"CL Peak Position",1
"Form",1
"Material Removal Rate",1
"Eye Opening",1
"Static Reflectivity",1
"Core Level",1
"XRD 2θ/ω scan",1
"Coupling to QD",1
"Forward/reverse current ratio",1
"Phonon Linewidth",1
"Acoustic Phonon Scattering",1
"Photoconductivity Peak Position",1
"Presence of C=C and C=N bonds",1
"FWHM of Band Edge PL Emission",1
"Free C Exciton Energy",1
"Amorphous Carbon",1
"GaN Dislocation Density",1
"Optical Aperture Diameter",1
"PL Thermal Quenching",1
"Interdot coupling",1
"Bandgap PL emission",1
"Plasma etching rate",1
"Thermal Management",1
"Calibration",1
"Lithographic Dimensions",1
"Optical Absorption Peaks",1
"A1 Raman mode position",1
"Imaginary part of the dielectric function ε",1
"Raman Peak Linewidth",1
"Spin-splitting energy",1
"QD Layer Thickness",1
"Nonradiative PL lifetime",1
"AR Coating",1
"EPR signal intensity",1
"Mosaic twist",1
"Presence at interface",1
"Readout Speed",1
"Integrated Electroluminescence Intensity",1
"Photocurrent vs. bias voltage",1
"Barrier Size",1
"Electron Transport Rate",1
"Laser-induced damage threshold",1
"Perovskite Film Morphology",1
"Etching resistance",1
"Photoelectric Gain",1
"Faraday Rotation Angle",1
